diet,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
21 day fix diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,2.33,6.88,4.29,2.22,1.51,
Abs diet,0.54,0.79,0.68,0.79,0.55,0.42,0.32,0.31,0.23,0.18,0.11,0.08,0.06,0.05,0.04,
Acid Alkaline diet,0.11,0.16,0.13,0.14,0.15,0.19,0.20,0.20,0.28,0.26,0.25,0.34,0.36,0.33,0.37,
Anti-Inflammatory diet,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.07,0.08,0.08,0.06,0.06,0.04,0.04,0.05,
Apple Cider Vinegar Diet,0.03,0.05,0.05,0.06,0.08,0.06,0.05,0.10,0.13,0.10,0.09,0.07,0.17,0.99,0.26,
Atkins diet,8.82,2.63,2.02,2.28,1.95,1.98,2.08,2.27,2.18,2.16,1.81,1.44,1.35,1.08,1.00,
Baby Food Diet,0.00,0.01,0.00,0.01,0.01,0.01,0.11,0.07,0.04,0.03,0.03,0.03,0.02,0.02,0.02,
Beverly Hills Diet,0.05,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,
Blood type diet,0.39,0.37,0.35,0.34,0.36,0.36,0.41,0.48,0.40,0.35,0.29,0.27,0.24,0.26,0.23,
Body for Life,1.91,2.04,1.59,1.27,1.11,0.86,0.57,0.45,0.33,0.26,0.18,0.15,0.11,0.09,0.09,
Body Reset Diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.01,0.00,0.03,0.03,
Cabbage Soup Diet,0.92,0.93,0.82,1.09,0.77,0.75,0.75,0.74,0.76,0.63,0.51,0.42,0.34,0.30,0.28,
Cardiac diet,0.07,0.11,0.12,0.11,0.12,0.13,0.12,0.13,0.10,0.10,0.09,0.09,0.08,0.08,0.10,
Clean Eating,0.01,0.01,0.02,0.05,0.20,0.33,0.45,0.70,1.07,1.98,1.86,1.61,1.26,0.98,0.78,
Cookie Diet,0.02,0.09,0.16,0.33,0.47,0.54,0.33,0.17,0.06,0.04,0.03,0.02,0.02,0.02,0.02,
Crash diets,0.04,0.10,0.09,0.10,0.11,0.10,0.10,0.09,0.09,0.06,0.04,0.03,0.02,0.01,0.01,
DASH Diet,0.56,0.51,0.53,0.44,0.58,0.49,0.47,0.64,0.79,0.99,0.91,0.86,0.58,0.68,1.00,
Detox diets,3.35,4.58,5.29,6.76,8.22,7.91,7.11,8.60,9.12,11.55,12.72,12.31,12.89,12.59,13.93,
Diabetic Diets,0.17,0.16,0.16,0.16,0.13,0.08,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,
Weight Loss diet,0.31,0.32,0.36,0.34,0.30,0.37,0.34,0.37,0.40,0.42,0.47,0.44,0.46,0.44,0.46,
Dukan Diet,0.00,0.00,0.00,0.00,0.00,0.01,0.19,2.24,1.12,0.61,0.37,0.29,0.26,0.19,0.20,
Duke Diet,0.03,0.05,0.04,0.07,0.04,0.03,0.02,0.04,0.04,0.02,0.02,0.01,0.01,0.01,0.01,
Eco-Atkins Diet,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Engine 2 Diet,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.12,0.25,0.18,0.09,0.05,0.03,0.04,0.03,
fad diets,0.45,0.43,0.28,0.22,0.22,0.16,0.14,0.13,0.11,0.11,0.11,0.11,0.08,0.09,0.10,
Fast Diet,0.19,0.20,0.22,0.24,0.22,0.24,0.24,0.29,0.27,0.65,0.30,0.22,0.26,0.20,0.20,
fast metabolism diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.30,0.30,0.24,0.20,0.15,
Fertility Diet,0.01,0.01,0.01,0.04,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
Fit for Life diet,0.03,0.02,0.03,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
Flat Belly Diet,0.00,0.00,0.00,0.00,1.12,0.84,0.40,0.28,0.20,0.16,0.11,0.09,0.06,0.05,0.04,
Flexitarian Diet,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.03,
Gluten-Free Diet,0.22,0.25,0.30,0.49,0.52,0.91,0.97,1.26,1.92,1.94,1.49,0.98,0.77,0.66,0.58,
Glycemic-Index Diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grapefruit Diet,0.43,0.35,0.32,0.31,0.29,0.32,0.27,0.29,0.26,0.20,0.17,0.12,0.09,0.10,0.09,
Hacker's Diet,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,
HCG Diet,0.00,0.00,0.00,0.04,0.25,1.09,3.75,6.33,3.58,1.71,1.13,0.89,0.84,0.70,0.61,
healthy diet,0.74,0.77,0.72,0.71,0.71,0.68,0.64,0.72,0.72,0.73,0.66,0.63,0.58,0.62,0.64,
High calorie diets,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
